Date,Forecast_kWh,Lower_95,Upper_95
2010-01-01,35.06468861119155,23.93888196318688,46.19049525919622
2010-01-02,39.65935706706261,27.787531408474038,51.53118272565118
2010-01-03,37.805347174035745,25.546073138829108,50.06462120924238
2010-01-04,34.61529556720511,22.075119996904483,47.155471137505735
2010-01-05,36.04531942598325,23.230398169977118,48.86024068198938
2010-01-06,37.20664921739985,24.122750323670285,50.29054811112941
2010-01-07,35.27049334231688,21.923036141595183,48.61795054303858
2010-01-08,35.207388342975776,21.378712195545404,49.03606449040615
2010-01-09,40.137896831069284,25.986900303909216,54.28889335822935
2010-01-10,38.2482743107822,23.801603293420847,52.694945328143554
2010-01-11,35.26049166210316,20.531282080906863,49.989701243299464
2010-01-12,36.652376896073946,21.64594739769755,51.65880639445034
2010-01-13,37.64889044852953,22.37027016747276,52.927510729586295
2010-01-14,35.8970477466388,20.35100165459995,51.44309383867764
2010-01-15,35.85032694365747,19.878592418345022,51.82206146896992
2010-01-16,40.56735358175469,24.28487370695813,56.849833456551245
2010-01-17,38.82474573811401,22.251896304428293,55.39759517179973
2010-01-18,35.89129663538128,19.038507597947575,52.74408567281499
2010-01-19,37.23069369690413,20.10253972956503,54.358847664243235
2010-01-20,38.25625446098867,20.85709303528896,55.65541588668839
2010-01-21,36.504429334101786,18.83841738158765,54.170441286615926
2010-01-22,36.45215229156316,18.360758409750417,54.5435461733759
2010-01-23,41.032110738034845,22.629134423669864,59.43508705239982
2010-01-24,39.30712121652595,20.61235233454651,58.001890098505385
2010-01-25,36.49691199486719,17.520291808323407,55.473532181410974
2010-01-26,37.79344959060552,18.5391034875031,57.04779569370794
2010-01-27,38.752647250589796,19.224524606263863,58.28076989491573
2010-01-28,37.0901323674906,17.29201871578683,56.88824601919436
2010-01-29,37.04321279714653,16.838538095103253,57.24788749918981
2010-01-30,41.45606823587668,20.942453181904607,61.969683289848746
