Date,Daily_kWh
2009-01-01,23.44486666666662
2009-01-02,38.7918333333334
2009-01-03,31.891600000000015
2009-01-04,32.333233333333325
2009-01-05,26.733333333333317
2009-01-06,28.16436666666666
2009-01-07,34.67120000000001
2009-01-08,27.221166666666697
2009-01-09,29.81170000000006
2009-01-10,35.04913333333336
2009-01-11,32.93313333333334
2009-01-12,26.487966666666683
2009-01-13,36.37666666666664
2009-01-14,29.60470000000005
2009-01-15,26.067800000000027
2009-01-16,46.10923333333333
2009-01-17,55.29700000000002
2009-01-18,52.56989999999993
2009-01-19,28.331099999999957
2009-01-20,28.967133333333305
2009-01-21,28.990566666666737
2009-01-22,20.622599999999988
2009-01-23,31.842266666666717
2009-01-24,36.679499999999976
2009-01-25,47.39440000000004
2009-01-26,27.90786666666668
2009-01-27,23.75049999999997
2009-01-28,45.36223333333328
2009-01-29,26.228299999999976
2009-01-30,34.31729999999996
2009-01-31,55.214199999999934
2009-02-01,30.124333333333308
2009-02-02,26.72166666666664
2009-02-03,31.139833333333325
2009-02-04,41.01539999999999
2009-02-05,27.484799999999954
2009-02-06,34.13993333333331
2009-02-07,52.19226666666668
2009-02-08,36.38109999999991
2009-02-09,28.443966666666643
2009-02-10,32.397033333333276
2009-02-11,43.989833333333365
2009-02-12,32.81100000000001
2009-02-13,28.16703333333336
2009-02-14,38.87656666666672
2009-02-15,26.43386666666663
2009-02-16,21.98323333333333
2009-02-17,13.028300000000014
2009-02-18,13.774166666666662
2009-02-19,12.287800000000015
2009-02-20,31.345600000000054
2009-02-21,21.936399999999974
2009-02-22,37.307966666666665
2009-02-23,45.56093333333337
2009-02-24,29.71906666666662
2009-02-25,19.497400000000017
2009-02-26,19.280866666666665
2009-02-27,33.81530000000003
2009-02-28,27.179166666666717
2009-03-01,41.12710000000003
2009-03-02,24.624033333333355
2009-03-03,30.8158666666667
2009-03-04,30.70216666666662
2009-03-05,24.03020000000002
2009-03-06,29.72456666666666
2009-03-07,28.27443333333333
2009-03-08,39.2861
2009-03-09,28.09260000000001
2009-03-10,30.6035
2009-03-11,40.09839999999998
2009-03-12,31.454333333333327
2009-03-13,24.092000000000027
2009-03-14,35.81713333333336
2009-03-15,32.36770000000004
2009-03-16,22.245533333333366
