Date,Forecast_kWh,Lower_95,Upper_95
2010-01-01,33.17477500318175,21.17526008258369,45.17428992377981
2010-01-02,39.79492243867681,27.089089446194603,52.50075543115901
2010-01-03,36.97463248404051,23.871777601335566,50.07748736674546
2010-01-04,32.249759649069965,18.74885028691849,45.75066901122144
2010-01-05,34.2094313175797,20.27054968545093,48.14831294970847
2010-01-06,34.428278694686,20.202756445310055,48.65380094406194
2010-01-07,33.4996010499521,18.961754669461712,48.037447430442484
2010-01-08,31.76536441027079,16.80804484583448,46.7226839747071
2010-01-09,37.371605943611954,22.157823310272413,52.585388576951495
2010-01-10,34.635769657675795,19.160462494940376,50.11107682041121
2010-01-11,30.882789429679626,15.180429161294137,46.585149698065116
2010-01-12,32.19667553577607,16.29657526307433,48.096775808477815
2010-01-13,32.949413938408654,16.85568915018137,49.04313872663594
2010-01-14,32.187727844002005,15.926756956018334,48.44869873198567
2010-01-15,30.088896601469557,13.44494874943743,46.732844453501684
2010-01-16,35.81190181656009,18.960144333158272,52.66365929996191
2010-01-17,33.193583646022404,16.171715604141273,50.21545168790354
2010-01-18,29.39073962624384,12.208811067928615,46.57266818455906
2010-01-19,30.85686713220317,13.522828628159054,48.19090563624729
2010-01-20,31.576883069090336,14.113333754214509,49.04043238396616
2010-01-21,30.810309694357287,13.22310418134607,48.3975152073685
2010-01-22,28.86519209261255,10.973194184649074,46.757190000576024
2010-01-23,34.443997594044646,16.400543260469558,52.48745192761973
2010-01-24,31.905036444193637,13.729934422780566,50.08013846560671
2010-01-25,28.239953991064443,9.943746606928002,46.536161375200884
2010-01-26,29.662335751659395,11.252351497892032,48.07232000542676
2010-01-27,30.40503701485554,11.894622788577117,48.915451241133965
2010-01-28,29.684898467780098,11.080906197768599,48.2888907377916
2010-01-29,27.78067275348402,8.927346047772062,46.63399945919598
2010-01-30,33.279290298343255,14.304657176871125,52.253923419815386
